player4 initial hand : 2 7 8 4 

player 4 draws a 5 from deck 4
player 4 discards a 2 to deck 1
player4 current hand : 7 8 4 5 

player 4 draws a 1 from deck 4
player 4 discards a 1 to deck 1
player4 current hand : 7 8 4 5 

player 4 draws a 14 from deck 4
player 4 discards a 7 to deck 1
player4 current hand : 8 4 5 14 

player 4 draws a 9 from deck 4
player 4 discards a 14 to deck 1
player4 current hand : 8 4 5 9 

player 4 draws a 14 from deck 4
player 4 discards a 9 to deck 1
player4 current hand : 8 4 5 14 

player 4 draws a 15 from deck 4
player 4 discards a 15 to deck 1
player4 current hand : 8 4 5 14 

player 4 draws a 2 from deck 4
player 4 discards a 14 to deck 1
player4 current hand : 8 4 5 2 

player 4 draws a 1 from deck 4
player 4 discards a 5 to deck 1
player4 current hand : 8 4 2 1 

player 4 draws a 15 from deck 4
player 4 discards a 2 to deck 1
player4 current hand : 8 4 1 15 

player 4 draws a 11 from deck 4
player 4 discards a 15 to deck 1
player4 current hand : 8 4 1 11 

player 4 draws a 2 from deck 4
player 4 discards a 11 to deck 1
player4 current hand : 8 4 1 2 

player 4 draws a 10 from deck 4
player 4 discards a 10 to deck 1
player4 current hand : 8 4 1 2 

player 4 draws a 6 from deck 4
player 4 discards a 8 to deck 1
player4 current hand : 4 1 2 6 

player 4 draws a 15 from deck 4
player 4 discards a 6 to deck 1
player4 current hand : 4 1 2 15 

player 4 draws a 4 from deck 4
player 4 discards a 15 to deck 1
player4 current hand : 4 1 2 4 

player 4 draws a 6 from deck 4
player 4 discards a 6 to deck 1
player4 current hand : 4 1 2 4 

player 4 draws a 5 from deck 4
player 4 discards a 2 to deck 1
player4 current hand : 4 1 4 5 

player 4 draws a 12 from deck 4
player 4 discards a 1 to deck 1
player4 current hand : 4 4 5 12 

player 4 draws a 7 from deck 4
player 4 discards a 5 to deck 1
player4 current hand : 4 4 12 7 

player 4 draws a 14 from deck 4
player 4 discards a 7 to deck 1
player4 current hand : 4 4 12 14 

player 4 draws a 9 from deck 4
player 4 discards a 12 to deck 1
player4 current hand : 4 4 14 9 

player 4 draws a 11 from deck 4
player 4 discards a 9 to deck 1
player4 current hand : 4 4 14 11 

player 4 draws a 11 from deck 4
player 4 discards a 11 to deck 1
player4 current hand : 4 4 14 11 

player 4 draws a 14 from deck 4
player 4 discards a 11 to deck 1
player4 current hand : 4 4 14 14 

player 4 draws a 9 from deck 4
player 4 discards a 14 to deck 1
player4 current hand : 4 4 14 9 

player 4 draws a 14 from deck 4
player 4 discards a 9 to deck 1
player4 current hand : 4 4 14 14 

player 4 draws a 15 from deck 4
player 4 discards a 14 to deck 1
player4 current hand : 4 4 14 15 

player 4 draws a 15 from deck 4
player 4 discards a 15 to deck 1
player4 current hand : 4 4 14 15 

player 2 has informed player 4 that player 2 has won
player 4 exits
player 4 final hand: 4 4 14 15 
